drug_code,pm_update_date,detected_on,dpd_url
89926,2013-11-01,2026-03-04,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89926
89927,2013-11-01,2026-03-04,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89927
100621,2021-06-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100621
100622,2021-06-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100622
100623,2021-06-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100623
102098,2022-10-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=102098
102099,2022-10-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=102099
102358,2023-01-23,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=102358
102504,2023-03-15,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=102504
103004,2023-09-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103004
103006,2023-09-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103006
103457,2024-08-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103457
103458,2024-08-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103458
103459,2024-08-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103459
103590,2025-10-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103590
103802,2024-06-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103802
103812,2024-06-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103812
103813,2024-06-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103813
103828,2024-07-04,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103828
103829,2024-07-04,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103829
103830,2024-07-04,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=103830
36346,2019-03-01,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=36346
